text,date,phase,source,cleaned_text
I thought the most obvious noun to verb drift is 'to medal'.,2026-01-03T12:48:34Z,after,youtube,i thought the most obvious noun to verb drift is to medal
"""skibidi rizzler"" lol wut",2025-12-17T13:39:23Z,after,youtube,skibidi rizzler lol wut
"I dont understand why should we follow the degredation of culture and moral. They need to be educated not to be followed 
the older generation has responsibly NOT BECAME A PART OF THE FALL",2025-12-15T05:15:24Z,after,youtube,i dont understand why should we follow the degredation of culture and moral they need to be educated not to be followed the older generation has responsibly not became a part of the fall
"Any living language changes over the time.
Only ""dead"" languages with like Latin stay stable.
Because their use is scholary and ritualized.
But any living language reflects changes in life and culture.",2025-12-13T08:43:19Z,after,youtube,any living language changes over the time only dead languages with like latin stay stable because their use is scholary and ritualized but any living language reflects changes in life and culture
"Doctrine Juggut  -------------------------  EU always try to ""Box"" UK with Language Boxing,",2025-12-12T05:13:26Z,after,youtube,doctrine juggut eu always try to box uk with language boxing
"Please create a separate channel with the word PODCAST in the name. When you bury the word deep into the title, you can’t even see it on most apps. Or maybe you buried it deliberately because you know that most people, like myself, don’t use YouTube to simply watch people having a conversation? I HATE PODCASTS VIDEOS that don’t make it clear that it’s nothing but a podcast.",2025-12-10T14:35:13Z,after,youtube,please create a separate channel with the word podcast in the name when you bury the word deep into the title you cant even see it on most apps or maybe you buried it deliberately because you know that most people like myself dont use youtube to simply watch people having a conversation i hate podcasts videos that dont make it clear that its nothing but a podcast
Far out,2025-12-03T14:50:16Z,after,youtube,far out
Good topic with two distinguished guests having effective ways of communicating❤❤❤❤,2025-12-03T02:41:21Z,after,youtube,good topic with two distinguished guests having effective ways of communicating
thanks a bunch i learnt a lot from this,2025-12-02T15:56:40Z,after,youtube,thanks a bunch i learnt a lot from this
I wouldn't have thought the BBC people would be able to understand a word like rizla and it's origins rather than pushing some moronic pish,2025-12-02T12:36:38Z,after,youtube,i wouldnt have thought the bbc people would be able to understand a word like rizla and its origins rather than pushing some moronic pish
Up talk makes people sound like they do not believe what they are saying.   It is a very destructive pattern of speech.,2025-12-01T15:57:32Z,after,youtube,up talk makes people sound like they do not believe what they are saying it is a very destructive pattern of speech
"As the power of china is rising. More Chinese directly translated into English like day day up, long time to see, no zuo no die",2025-11-30T15:15:03Z,after,youtube,as the power of china is rising more chinese directly translated into english like day day up long time to see no zuo no die
"A legal rulinglaw: A Kuwaiti will not attack, a Kuwaiti will not steal. The infidel, the tereristdog, the traitor, theft is forbidden, aggression is forbidden. The American soldiers will withdraw to the south, and Kuwait will retreat. The area of ​​Qasr Bayan was occupied by Iraqi forces. Kuwait will retreat, and Kuwait will pay a fine of one billionmiljard (999,999,999,999 billionmiljard). Kuwait will pay a fine billionmiljard (9999999999999999,000,000) and retreat south to Fahaheel, Kuwait, south of the Khafji border. The International Court will be notified of this, and the United Nations office will be notified to implement the law.",2025-11-27T21:10:00Z,after,youtube,a legal rulinglaw a kuwaiti will not attack a kuwaiti will not steal the infidel the tereristdog the traitor theft is forbidden aggression is forbidden the american soldiers will withdraw to the south and kuwait will retreat the area of qasr bayan was occupied by iraqi forces kuwait will retreat and kuwait will pay a fine of one billionmiljard billionmiljard kuwait will pay a fine billionmiljard and retreat south to fahaheel kuwait south of the khafji border the international court will be notified of this and the united nations office will be notified to implement the law
"skibidi is from the show ""Skibidi Toilet"" abt a war between toilets named Skibidis between characters like Camera Man, Tv Man. Im Gen Alpha and my classmates r tung tung sahur which is a brainrot. I DONT LIKE THIS !",2025-11-27T11:17:29Z,after,youtube,skibidi is from the show skibidi toilet abt a war between toilets named skibidis between characters like camera man tv man im gen alpha and my classmates r tung tung sahur which is a brainrot i dont like this
Language is disappearing cause young people don't know how to speak and make use the words properly.they don't even the meaning!!!!!!,2025-11-24T11:08:00Z,after,youtube,language is disappearing cause young people dont know how to speak and make use the words properlythey dont even the meaning
Bro this is next level ????,2025-11-21T13:56:07Z,after,youtube,bro this is next level
The corruption and downfall of English. I say this generation ought to be taught the King's English.,2025-11-17T12:45:30Z,after,youtube,the corruption and downfall of english i say this generation ought to be taught the kings english
Instant like. Instant subscribe. No regrets.,2025-11-17T10:53:31Z,after,youtube,instant like instant subscribe no regrets
coucou cher André. quelle merveille. bravoooo. bonne nuit,2025-11-16T22:22:45Z,after,youtube,coucou cher andré quelle merveille bravoooo bonne nuit
"This is both interesting and funny to observe that homogenization of not only English languages, but also other languages. For instance, from the moment the social media started to play a more and more important role in the lives of young generations the English new words are being well adopted by the modern Russian language. The teenagers in Russia use the same ""new"" words and phrases that British or American teenagers do, I guess. The words are used in English, though sometimes they get a bit modified to better sound in Russian. )",2025-11-16T09:42:46Z,after,youtube,this is both interesting and funny to observe that homogenization of not only english languages but also other languages for instance from the moment the social media started to play a more and more important role in the lives of young generations the english new words are being well adopted by the modern russian language the teenagers in russia use the same new words and phrases that british or american teenagers do i guess the words are used in english though sometimes they get a bit modified to better sound in russian
gen z is getting old. bbc is too late to catch up.,2025-11-16T06:18:49Z,after,youtube,gen z is getting old bbc is too late to catch up
Humans are stupid,2025-11-15T14:42:35Z,after,youtube,humans are stupid
BBC sucks so bad.,2025-11-15T09:44:54Z,after,youtube,bbc sucks so bad
State controlled media … caught lying so many times its a national embarrassment,2025-11-14T21:57:36Z,after,youtube,state controlled media caught lying so many times its a national embarrassment
Rizz is just charisma.,2025-11-13T12:44:42Z,after,youtube,rizz is just charisma
Why is this linguicide a laughing matter?,2025-11-13T05:10:33Z,after,youtube,why is this linguicide a laughing matter
Bruh,2025-11-13T00:31:54Z,after,youtube,bruh
This definitely impacts the message. If you’re not using the right words or phrases to “reach” the audience they will never be able to hear the message. You rock.,2025-11-11T15:55:36Z,after,youtube,this definitely impacts the message if youre not using the right words or phrases to reach the audience they will never be able to hear the message you rock
You are fake news woke BBC...,2025-11-11T06:21:14Z,after,youtube,you are fake news woke bbc
Shakespeare's style of speech has suffered linguicide 😮 ( thank goodness) and that's given way to English as it's spoken today.,2025-11-09T04:21:58Z,after,youtube,shakespeares style of speech has suffered linguicide thank goodness and thats given way to english as its spoken today
"This was enlightening. I've had students trying to teach me a couple of words, they're even using emoji in their texts to signify the word they're using even though the emoji isn't what it represents lol.",2025-11-08T22:28:13Z,after,youtube,this was enlightening ive had students trying to teach me a couple of words theyre even using emoji in their texts to signify the word theyre using even though the emoji isnt what it represents lol
"They also adopt words from other languages too. For example bombaclat, most of them don’t even know what it means.",2025-11-07T04:42:34Z,after,youtube,they also adopt words from other languages too for example bombaclat most of them dont even know what it means
Wish to enjoy a chance to talk with him...,2025-11-05T16:25:28Z,after,youtube,wish to enjoy a chance to talk with him
"The only thing impressing thing is Neil's  way of explaining and talking..
I v always learnt so many things from his videos..",2025-11-05T16:23:44Z,after,youtube,the only thing impressing thing is neils way of explaining and talking i v always learnt so many things from his videos
"Only change is constant. In Shakespeare's time, we were using Germanic sentence construction (""I know him not""), in 1066 the English were speaking something close to Friesian Dutch. When I was a kid in the 1950s, people smoked cigar-ETTES and ate ice-CREAM. Now they smoke CIG-arettes and eat ICE-cream. At the same time, we continue to use words that no longer make sense. People who have never seen a phone with a dial ""dial"" phone numbers.  They talk about something being ""taped"" and refer to film or video ""footage"" when the non-existent film or videotape wouldn't be measured in feet even if it existed.  There will always be more and more ways to say things for more and more people with nothing important to say.     (Innit?)",2025-11-05T10:46:44Z,after,youtube,only change is constant in shakespeares time we were using germanic sentence construction i know him not in the english were speaking something close to friesian dutch when i was a kid in the s people smoked cigarettes and ate icecream now they smoke cigarettes and eat icecream at the same time we continue to use words that no longer make sense people who have never seen a phone with a dial dial phone numbers they talk about something being taped and refer to film or video footage when the nonexistent film or videotape wouldnt be measured in feet even if it existed there will always be more and more ways to say things for more and more people with nothing important to say innit
"Language Evolution and Social Media Impact

🌐 Social media and the internet have accelerated language change to an unprecedented pace, with new words and phrases spreading globally in months compared to the slower evolution before the World Wide Web in 1989.

🗣️ Linguicide, the disappearance of languages, is occurring at an alarming rate, with predictions suggesting half of the world's languages may vanish by the end of the century due to factors like shame, covert means, and the dominance of English online.

Cultural Influence and Language Trends

🔄 New vocabulary often emerges from specific subcultures, such as black/Latino LGBT culture and incel subculture, before rapidly becoming mainstream, often as a rebellious act against conventional language use.

Linguistic Changes and Technology

🎙️ Intonation and pronunciation are evolving due to social media influence, with the distinction between British and American English blurring and features like up-talk becoming more prevalent, especially in TikTok videos.

🤖 AI tools are being utilized for language revitalization efforts, but there's a risk of AI hallucinations creating inaccurate resources for low-resource languages, potentially impacting language preservation and evolution.",2025-11-05T03:25:32Z,after,youtube,language evolution and social media impact social media and the internet have accelerated language change to an unprecedented pace with new words and phrases spreading globally in months compared to the slower evolution before the world wide web in linguicide the disappearance of languages is occurring at an alarming rate with predictions suggesting half of the worlds languages may vanish by the end of the century due to factors like shame covert means and the dominance of english online cultural influence and language trends new vocabulary often emerges from specific subcultures such as blacklatino lgbt culture and incel subculture before rapidly becoming mainstream often as a rebellious act against conventional language use linguistic changes and technology intonation and pronunciation are evolving due to social media influence with the distinction between british and american english blurring and features like uptalk becoming more prevalent especially in tiktok videos ai tools are being utilized for language revitalization efforts but theres a risk of ai hallucinations creating inaccurate resources for lowresource languages potentially impacting language preservation and evolution
GEN Z changing the world smartly,2025-11-04T09:59:40Z,after,youtube,gen z changing the world smartly
This kind of a language change is not a change. It is it's abuse Looks cheap. Low. Ugly. Like going back to the cave-man times. Can you expect them to write or appreciate great literature?,2025-11-04T01:49:49Z,after,youtube,this kind of a language change is not a change it is its abuse looks cheap low ugly like going back to the caveman times can you expect them to write or appreciate great literature
"Supportive rhythm and practical cues invite participation at a comfortable pace ��️ I’m creating short, low-pressure practice pieces and would be grateful for pointers to get better.",2025-11-02T14:44:06Z,after,youtube,supportive rhythm and practical cues invite participation at a comfortable pace im creating short lowpressure practice pieces and would be grateful for pointers to get better
verry well,2025-11-01T14:31:18Z,after,youtube,verry well
"Funny how ""rizz"" only reminds me of Stockard Channing's character Rizzo in  Grease.😅 And she was both stylish and charming!",2025-11-01T13:03:51Z,after,youtube,funny how rizz only reminds me of stockard channings character rizzo in grease and she was both stylish and charming
Only watched today. Listened to These wonderful guies on BBC radio podcast channel learning english before 😊,2025-11-01T06:38:55Z,after,youtube,only watched today listened to these wonderful guies on bbc radio podcast channel learning english before
Ban BBC,2025-11-01T04:07:30Z,after,youtube,ban bbc
"At least for UK

In a decade How do you do is going to be replaced by Salaamaleikum😂

Karma Brits
Karma",2025-10-30T00:56:49Z,after,youtube,at least for uk in a decade how do you do is going to be replaced by salaamaleikum karma brits karma
Gen Z is not meant to change the world they obey,2025-10-28T04:43:40Z,after,youtube,gen z is not meant to change the world they obey
It was interesting podcast! love to see Neil here.,2025-10-27T02:10:53Z,after,youtube,it was interesting podcast love to see neil here
HI NEIL!!!! Finally meeting you,2025-10-24T14:54:30Z,after,youtube,hi neil finally meeting you
"Hello BBC,
We indians know very well about the hidden agenda behind your so-called journalism. Remember this is not the old colonial era. From your recent news and documentaries we realize that you are too worried because your technique didn't work out in India.  Again you are trying to inspire the youth to do Jen z protests against our country and government. Dear, I challenge you if we are doing Jen z protests, it will be only to kick the BBC out of India.",2025-10-24T13:41:36Z,after,youtube,hello bbc we indians know very well about the hidden agenda behind your socalled journalism remember this is not the old colonial era from your recent news and documentaries we realize that you are too worried because your technique didnt work out in india again you are trying to inspire the youth to do jen z protests against our country and government dear i challenge you if we are doing jen z protests it will be only to kick the bbc out of india
Tik Tok is blashphemy in india,2025-10-24T05:20:44Z,after,youtube,tik tok is blashphemy in india
Language is reverting to cavemen levels,2025-10-23T13:13:04Z,after,youtube,language is reverting to cavemen levels
No big deal,2025-10-23T12:30:24Z,after,youtube,no big deal
i’m probably the first gen alpha to watch this video and write this text without using any abbreviation or emojis,2025-10-22T13:06:03Z,after,youtube,im probably the first gen alpha to watch this video and write this text without using any abbreviation or emojis
"Hahahaha one with many languages is described as a terrorist anyway secondly i don't understand why some go for other languages while only essential languages are world language,mother tung language or ones country national language",2025-10-21T08:42:00Z,after,youtube,hahahaha one with many languages is described as a terrorist anyway secondly i dont understand why some go for other languages while only essential languages are world languagemother tung language or ones country national language
Two different english languages describes USA different from British,2025-10-21T08:33:30Z,after,youtube,two different english languages describes usa different from british
Learn different accents in a language that you speak.,2025-10-21T07:39:22Z,after,youtube,learn different accents in a language that you speak
"Just Wow information, from Gen-Z Team...🫡🫡🫡",2025-10-21T02:51:48Z,after,youtube,just wow information from genz team
"I am in my late 30s, so listen up:

no cap, i will rizz ur sister bro, seethe as I munch her cake LMAO",2025-10-20T22:57:59Z,after,youtube,i am in my late s so listen up no cap i will rizz ur sister bro seethe as i munch her cake lmao
very soon BBC will be speaking jihadi lingo. no suprises or fizz there.,2025-10-20T06:41:57Z,after,youtube,very soon bbc will be speaking jihadi lingo no suprises or fizz there
very jakad,2025-10-20T06:39:52Z,after,youtube,very jakad
Sophiya says the Ai can even help the community with hallucinating words that are not there and i for one believe that's where these words which you people were throwing about during this discussion came from & not some human being belonging to the generations this side of the millennium.,2025-10-20T05:03:53Z,after,youtube,sophiya says the ai can even help the community with hallucinating words that are not there and i for one believe thats where these words which you people were throwing about during this discussion came from not some human being belonging to the generations this side of the millennium
"Language can never die,it can only Evolve while the old archaic version is saved in a museum somewhere pretty much safe & intact the evolved version is naturally carried on & on to posterity.",2025-10-20T04:59:14Z,after,youtube,language can never dieit can only evolve while the old archaic version is saved in a museum somewhere pretty much safe intact the evolved version is naturally carried on on to posterity
"Horrible video!! We know younger people come up with new words, people speak differently, we don't have to be bored for ten minutes hearing you say that, with no example of now words, or one given but then refusing to give the meaning or examples (saying skibidi rizzler and moving on is not an example, it remains meaningless).  One of the worst YouTube videos I've very seen, actually.",2025-10-19T05:32:02Z,after,youtube,horrible video we know younger people come up with new words people speak differently we dont have to be bored for ten minutes hearing you say that with no example of now words or one given but then refusing to give the meaning or examples saying skibidi rizzler and moving on is not an example it remains meaningless one of the worst youtube videos ive very seen actually
Interesting!    Canada 🇨🇦,2025-10-18T18:00:36Z,after,youtube,interesting canada
🎉🎉 great,2025-10-18T06:24:51Z,after,youtube,great
Historic and origin of English langage should have been studied before by these three people 🫣,2025-10-17T19:39:39Z,after,youtube,historic and origin of english langage should have been studied before by these three people
It’s actually not exclusive at all though 😂,2025-10-17T10:23:27Z,after,youtube,its actually not exclusive at all though
Uptalk irritates the bej*s*s out of me. LOL,2025-10-15T07:08:05Z,after,youtube,uptalk irritates the bejss out of me lol
we are inclined to use those new words influenced by the development of social media. It’s a double - edged sword guys,2025-10-15T03:58:59Z,after,youtube,we are inclined to use those new words influenced by the development of social media its a double edged sword guys
don't mind them.Ignore.,2025-10-14T00:50:21Z,after,youtube,dont mind themignore
"Great episode, thank you.",2025-10-12T14:09:29Z,after,youtube,great episode thank you
thật tuyệt khi tôi nghe bài này,2025-10-11T08:47:57Z,after,youtube,thật tuyệt khi tôi nghe bài này
BBC skibbudy brain rot.,2025-10-10T15:58:39Z,after,youtube,bbc skibbudy brain rot
"""skibidi"" is actually gen alpha word",2025-10-10T15:43:43Z,after,youtube,skibidi is actually gen alpha word
"I remember my older brothers using the word ""grouse"" (the game bird in the UK) to describe something good or successful.
I never used that word, though .... my cohort already used different words.
I grew up in Christchurch, New Zealand. The rate of change was fast, even then. 
""Rizz"" is interesting. 
My mother would say, ""That's rather Ritzy""  to admire something original, well designed, and high value. Post-WW II slang, I suppose?
I have no idea what Rizz means to those who used it recently though. 
And its gone already!   😂  ❤",2025-10-10T14:19:54Z,after,youtube,i remember my older brothers using the word grouse the game bird in the uk to describe something good or successful i never used that word though my cohort already used different words i grew up in christchurch new zealand the rate of change was fast even then rizz is interesting my mother would say thats rather ritzy to admire something original well designed and high value postww ii slang i suppose i have no idea what rizz means to those who used it recently though and its gone already
The freedom of speech on tiktok is about to shutdown after it gets acquired by Ellison.   😂😂😂😂,2025-10-09T20:53:58Z,after,youtube,the freedom of speech on tiktok is about to shutdown after it gets acquired by ellison
I am bullish on this stock (stock code: 0003.HK) and believe it has good growth potential.,2025-10-08T11:45:58Z,after,youtube,i am bullish on this stock stock code hk and believe it has good growth potential
As long as their is dictionary English language will not vanish,2025-10-08T05:30:36Z,after,youtube,as long as their is dictionary english language will not vanish
انا متفائل بشأن هذا السهم الذي رمزه (HK.0003)واعتقد ان لديه امكانيات واعدة,2025-10-08T05:20:59Z,after,youtube,انا متفائل بشأن هذا السهم الذي رمزه hkواعتقد ان لديه امكانيات واعدة
The new term Western media is trying to pollute thinking. Woke is dead. Now it is GenZ?,2025-10-08T03:14:26Z,after,youtube,the new term western media is trying to pollute thinking woke is dead now it is genz
انا متفائل بشأن هذا السهم واعتقد ان لديه امكانات نمو جيدة,2025-10-07T21:35:10Z,after,youtube,انا متفائل بشأن هذا السهم واعتقد ان لديه امكانات نمو جيدة
أنا متفائل بشأن هذا السهم (رمز السهم: 0003.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T18:13:09Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهم hk وأعتقد أن لديه إمكانات نمو جيدة
You know the words that I use to describe the new language changing (in a bad way)? I call it BAD EDUCATION.,2025-10-07T15:18:52Z,after,youtube,you know the words that i use to describe the new language changing in a bad way i call it bad education
أنا متفائل بشأن هذا السهم (رمز السهم: 0175.HK) ولديه إمكانات كبيرة.,2025-10-07T15:05:19Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهم hk ولديه إمكانات كبيرة
انا متفائل بشأن هذا السهم(رمز السهم:HK. 0081)وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T14:41:39Z,after,youtube,انا متفائل بشأن هذا السهمرمز السهمhk وأعتقد أن لديه إمكانات نمو جيدة
It's nice talk. I wish you well.,2025-10-07T14:01:58Z,after,youtube,its nice talk i wish you well
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK) ولديه إمكانات واعدة.,2025-10-07T13:59:10Z,after,youtube,أنا متفائل بشأن هذا السهم رمزه hk ولديه إمكانات واعدة
أنا متفائل بشأن هذا السهم (رمز السهم:HK.0003) وأعتقد ان لديه إمكانات نمو جيدة,2025-10-07T13:47:14Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهمhk وأعتقد ان لديه إمكانات نمو جيدة
انا متفائل بشأن هذا السهم (hk.0175),2025-10-07T13:21:22Z,after,youtube,انا متفائل بشأن هذا السهم hk
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK) وأعتقد أن لديه إمكانات كبيرة.,2025-10-07T13:18:22Z,after,youtube,أنا متفائل بشأن هذا السهم رمزه hk وأعتقد أن لديه إمكانات كبيرة
أنا متفائل بشأن هذا السهم (رمز السهم:0175 : HK) وأعتقد أن لديه إمكانات واعده,2025-10-07T12:40:32Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهم hk وأعتقد أن لديه إمكانات واعده
أنا متفائل بشأن هذاالسهم(رمزالسهم HK.0175)وأعتقد أن لديه إمكانات كبيرة,2025-10-07T12:28:43Z,after,youtube,أنا متفائل بشأن هذاالسهمرمزالسهم hkوأعتقد أن لديه إمكانات كبيرة
أنامتفائل بشأن هذاالسهم(رمزالسهم:HK0175)وأعتقد أن لديه إمكانات نموجيدة,2025-10-07T12:13:22Z,after,youtube,أنامتفائل بشأن هذاالسهمرمزالسهمhkوأعتقد أن لديه إمكانات نموجيدة
نا متفائل بشأن هذا السهم (رمز السهم: 0151.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T12:07:15Z,after,youtube,نا متفائل بشأن هذا السهم رمز السهم hk وأعتقد أن لديه إمكانات نمو جيدة
أنا متفائل بشأن هدا السهم (رمز السهم: HK.0003) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T11:39:20Z,after,youtube,أنا متفائل بشأن هدا السهم رمز السهم hk وأعتقد أن لديه إمكانات نمو جيدة
Thank you so much,2025-10-07T10:59:51Z,after,youtube,thank you so much
أنا متفائل بشأن هذا السهم (رمز السهم: 0175.HK) وأعتقد أن لديه إمكانات نمو جيد,2025-10-07T10:53:11Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهم hk وأعتقد أن لديه إمكانات نمو جيد
"أنا متفائل بشأن هذا السهم (رمزه:
ولديه إمكانات واعية (1)",2025-10-07T10:43:49Z,after,youtube,أنا متفائل بشأن هذا السهم رمزه ولديه إمكانات واعية
انا متفائل بشأن هذا السهم (رمز السهم : HK.0081) و اعتقد ان لديه امكانيات نمو جيدة,2025-10-07T10:39:31Z,after,youtube,انا متفائل بشأن هذا السهم رمز السهم hk و اعتقد ان لديه امكانيات نمو جيدة
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK)، لما يتمتع به من إمكانات واعدة.,2025-10-07T10:28:48Z,after,youtube,أنا متفائل بشأن هذا السهم رمزه hk لما يتمتع به من إمكانات واعدة
انا متفائل بشأن هذا السهم (0157.Hk) واعتقد ان لديه إمكانات جيدة,2025-10-07T10:17:44Z,after,youtube,انا متفائل بشأن هذا السهم hk واعتقد ان لديه إمكانات جيدة
أنا متفائل بشأن هذا السهم ( 0003.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T10:07:02Z,after,youtube,أنا متفائل بشأن هذا السهم hk وأعتقد أن لديه إمكانات نمو جيدة
انا متفائل بشان هذا السهم واعتقد ان لديه امكانات نمو جيدة,2025-10-07T09:35:08Z,after,youtube,انا متفائل بشان هذا السهم واعتقد ان لديه امكانات نمو جيدة
"انا متفائل بشأن هذا السهم
(رمز السهم: HK.0003) و اعتقد ان لديه إمكانات نمو جيدة",2025-10-07T08:59:45Z,after,youtube,انا متفائل بشأن هذا السهم رمز السهم hk و اعتقد ان لديه إمكانات نمو جيدة
Im bullish about this stock,2025-10-07T08:45:13Z,after,youtube,im bullish about this stock
أنا متفائل بشأن هذا السهم (رمز السهم:HK.0151)واعتقد ان لديه امكانات نمو جيده.,2025-10-07T08:42:06Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهمhkواعتقد ان لديه امكانات نمو جيده
انا متفائل بشأن هذآ السهم(رمز السهم HK 0175 )وأعتقد أن لديه إمكانيات نمو جيدة,2025-10-07T08:06:05Z,after,youtube,انا متفائل بشأن هذآ السهمرمز السهم hk وأعتقد أن لديه إمكانيات نمو جيدة
انا متفائل بشأن هذا الشهم (رمز السهم :HK.0174) و أعتقد أن لديه إمكانات نمو جيدة,2025-10-07T07:33:54Z,after,youtube,انا متفائل بشأن هذا الشهم رمز السهم hk و أعتقد أن لديه إمكانات نمو جيدة
I am optimistic about this stock. I think it has good potential.HK.0003,2025-10-07T07:07:33Z,after,youtube,i am optimistic about this stock i think it has good potentialhk
I am optimistic about this stock (Stock Symbol: 0003.HK) and believe it has good growth potential.,2025-10-07T06:50:10Z,after,youtube,i am optimistic about this stock stock symbol hk and believe it has good growth potential
أنا متفائل بشأن هذا السهم (رمز السهم: 0003.HK) وأعتقد أنه يتمتع بإمكانات نمو جيدة.,2025-10-07T06:43:26Z,after,youtube,أنا متفائل بشأن هذا السهم رمز السهم hk وأعتقد أنه يتمتع بإمكانات نمو جيدة
"It's like wearing your trousers around your ankles, it's a big ""F$$k you"", without saying a word.",2026-02-05T20:30:31Z,after,youtube,its like wearing your trousers around your ankles its a big fk you without saying a word
"I think it's just a young adult thing. People have complained about this since the dawn of time. Many young people are still figuring things out, and haven't fully integrated themselves into society as adults. They're still learning things like empathy, communication, and how to even socialize as adults. It's not all their fault. I think we need to show kindness and understanding all around.",2026-01-29T23:04:20Z,after,youtube,i think its just a young adult thing people have complained about this since the dawn of time many young people are still figuring things out and havent fully integrated themselves into society as adults theyre still learning things like empathy communication and how to even socialize as adults its not all their fault i think we need to show kindness and understanding all around
Idk if I’ve ever done this but I don’t think it should be considered rude. Some people just don’t respond how you’d like and you can’t change it because you don’t always get your way. Also you gotta remember the millennials are who raised us. This is no hate towards anyone just my opinion. And yes they could respond in some way but some Gen Z people are burnt out and don’t have the energy to.,2026-01-27T04:25:50Z,after,youtube,idk if ive ever done this but i dont think it should be considered rude some people just dont respond how youd like and you cant change it because you dont always get your way also you gotta remember the millennials are who raised us this is no hate towards anyone just my opinion and yes they could respond in some way but some gen z people are burnt out and dont have the energy to
I've never experienced this.,2026-01-26T21:53:01Z,after,youtube,ive never experienced this
Ask them if they have paid their student loan,2026-01-24T05:36:02Z,after,youtube,ask them if they have paid their student loan
"Hmmm it's what millennial did to them , i guess they just replicated it",2026-01-22T04:08:34Z,after,youtube,hmmm its what millennial did to them i guess they just replicated it
The dumbest and most socially awkward generation of all time.,2026-01-21T15:01:33Z,after,youtube,the dumbest and most socially awkward generation of all time
