text,date,phase,source
"Please create a separate channel with the word PODCAST in the name. When you bury the word deep into the title, you can’t even see it on most apps. Or maybe you buried it deliberately because you know that most people, like myself, don’t use YouTube to simply watch people having a conversation? I HATE PODCASTS VIDEOS that don’t make it clear that it’s nothing but a podcast.",2025-12-10T14:35:13Z,after,youtube
Far out,2025-12-03T14:50:16Z,after,youtube
Good topic with two distinguished guests having effective ways of communicating❤❤❤❤,2025-12-03T02:41:21Z,after,youtube
thanks a bunch i learnt a lot from this,2025-12-02T15:56:40Z,after,youtube
I wouldn't have thought the BBC people would be able to understand a word like rizla and it's origins rather than pushing some moronic pish,2025-12-02T12:36:38Z,after,youtube
Up talk makes people sound like they do not believe what they are saying.   It is a very destructive pattern of speech.,2025-12-01T15:57:32Z,after,youtube
"As the power of china is rising. More Chinese directly translated into English like day day up, long time to see, no zuo no die",2025-11-30T15:15:03Z,after,youtube
"A legal rulinglaw: A Kuwaiti will not attack, a Kuwaiti will not steal. The infidel, the tereristdog, the traitor, theft is forbidden, aggression is forbidden. The American soldiers will withdraw to the south, and Kuwait will retreat. The area of ​​Qasr Bayan was occupied by Iraqi forces. Kuwait will retreat, and Kuwait will pay a fine of one billionmiljard (999,999,999,999 billionmiljard). Kuwait will pay a fine billionmiljard (9999999999999999,000,000) and retreat south to Fahaheel, Kuwait, south of the Khafji border. The International Court will be notified of this, and the United Nations office will be notified to implement the law.",2025-11-27T21:10:00Z,after,youtube
"skibidi is from the show ""Skibidi Toilet"" abt a war between toilets named Skibidis between characters like Camera Man, Tv Man. Im Gen Alpha and my classmates r tung tung sahur which is a brainrot. I DONT LIKE THIS !",2025-11-27T11:17:29Z,after,youtube
Language is disappearing cause young people don't know how to speak and make use the words properly.they don't even the meaning!!!!!!,2025-11-24T11:08:00Z,after,youtube
Bro this is next level ????,2025-11-21T13:56:07Z,after,youtube
The corruption and downfall of English. I say this generation ought to be taught the King's English.,2025-11-17T12:45:30Z,after,youtube
Instant like. Instant subscribe. No regrets.,2025-11-17T10:53:31Z,after,youtube
coucou cher André. quelle merveille. bravoooo. bonne nuit,2025-11-16T22:22:45Z,after,youtube
"This is both interesting and funny to observe that homogenization of not only English languages, but also other languages. For instance, from the moment the social media started to play a more and more important role in the lives of young generations the English new words are being well adopted by the modern Russian language. The teenagers in Russia use the same ""new"" words and phrases that British or American teenagers do, I guess. The words are used in English, though sometimes they get a bit modified to better sound in Russian. )",2025-11-16T09:42:46Z,after,youtube
gen z is getting old. bbc is too late to catch up.,2025-11-16T06:18:49Z,after,youtube
Humans are stupid,2025-11-15T14:42:35Z,after,youtube
BBC sucks so bad.,2025-11-15T09:44:54Z,after,youtube
State controlled media … caught lying so many times its a national embarrassment,2025-11-14T21:57:36Z,after,youtube
Rizz is just charisma.,2025-11-13T12:44:42Z,after,youtube
Why is this linguicide a laughing matter?,2025-11-13T05:10:33Z,after,youtube
Bruh,2025-11-13T00:31:54Z,after,youtube
This definitely impacts the message. If you’re not using the right words or phrases to “reach” the audience they will never be able to hear the message. You rock.,2025-11-11T15:55:36Z,after,youtube
You are fake news woke BBC...,2025-11-11T06:21:14Z,after,youtube
Shakespeare's style of speech has suffered linguicide 😮 ( thank goodness) and that's given way to English as it's spoken today.,2025-11-09T04:21:58Z,after,youtube
"This was enlightening. I've had students trying to teach me a couple of words, they're even using emoji in their texts to signify the word they're using even though the emoji isn't what it represents lol.",2025-11-08T22:28:13Z,after,youtube
"They also adopt words from other languages too. For example bombaclat, most of them don’t even know what it means.",2025-11-07T04:42:34Z,after,youtube
Wish to enjoy a chance to talk with him...,2025-11-05T16:25:28Z,after,youtube
"The only thing impressing thing is Neil's  way of explaining and talking..
I v always learnt so many things from his videos..",2025-11-05T16:23:44Z,after,youtube
"Only change is constant. In Shakespeare's time, we were using Germanic sentence construction (""I know him not""), in 1066 the English were speaking something close to Friesian Dutch. When I was a kid in the 1950s, people smoked cigar-ETTES and ate ice-CREAM. Now they smoke CIG-arettes and eat ICE-cream. At the same time, we continue to use words that no longer make sense. People who have never seen a phone with a dial ""dial"" phone numbers.  They talk about something being ""taped"" and refer to film or video ""footage"" when the non-existent film or videotape wouldn't be measured in feet even if it existed.  There will always be more and more ways to say things for more and more people with nothing important to say.     (Innit?)",2025-11-05T10:46:44Z,after,youtube
"Language Evolution and Social Media Impact

🌐 Social media and the internet have accelerated language change to an unprecedented pace, with new words and phrases spreading globally in months compared to the slower evolution before the World Wide Web in 1989.

🗣️ Linguicide, the disappearance of languages, is occurring at an alarming rate, with predictions suggesting half of the world's languages may vanish by the end of the century due to factors like shame, covert means, and the dominance of English online.

Cultural Influence and Language Trends

🔄 New vocabulary often emerges from specific subcultures, such as black/Latino LGBT culture and incel subculture, before rapidly becoming mainstream, often as a rebellious act against conventional language use.

Linguistic Changes and Technology

🎙️ Intonation and pronunciation are evolving due to social media influence, with the distinction between British and American English blurring and features like up-talk becoming more prevalent, especially in TikTok videos.

🤖 AI tools are being utilized for language revitalization efforts, but there's a risk of AI hallucinations creating inaccurate resources for low-resource languages, potentially impacting language preservation and evolution.",2025-11-05T03:25:32Z,after,youtube
GEN Z changing the world smartly,2025-11-04T09:59:40Z,after,youtube
This kind of a language change is not a change. It is it's abuse Looks cheap. Low. Ugly. Like going back to the cave-man times. Can you expect them to write or appreciate great literature?,2025-11-04T01:49:49Z,after,youtube
"Supportive rhythm and practical cues invite participation at a comfortable pace ��️ I’m creating short, low-pressure practice pieces and would be grateful for pointers to get better.",2025-11-02T14:44:06Z,after,youtube
verry well,2025-11-01T14:31:18Z,after,youtube
"Funny how ""rizz"" only reminds me of Stockard Channing's character Rizzo in  Grease.😅 And she was both stylish and charming!",2025-11-01T13:03:51Z,after,youtube
Only watched today. Listened to These wonderful guies on BBC radio podcast channel learning english before 😊,2025-11-01T06:38:55Z,after,youtube
Ban BBC,2025-11-01T04:07:30Z,after,youtube
"At least for UK

In a decade How do you do is going to be replaced by Salaamaleikum😂

Karma Brits
Karma",2025-10-30T00:56:49Z,after,youtube
Gen Z is not meant to change the world they obey,2025-10-28T04:43:40Z,after,youtube
It was interesting podcast! love to see Neil here.,2025-10-27T02:10:53Z,after,youtube
HI NEIL!!!! Finally meeting you,2025-10-24T14:54:30Z,after,youtube
"Hello BBC,
We indians know very well about the hidden agenda behind your so-called journalism. Remember this is not the old colonial era. From your recent news and documentaries we realize that you are too worried because your technique didn't work out in India.  Again you are trying to inspire the youth to do Jen z protests against our country and government. Dear, I challenge you if we are doing Jen z protests, it will be only to kick the BBC out of India.",2025-10-24T13:41:36Z,after,youtube
Tik Tok is blashphemy in india,2025-10-24T05:20:44Z,after,youtube
Language is reverting to cavemen levels,2025-10-23T13:13:04Z,after,youtube
No big deal,2025-10-23T12:30:24Z,after,youtube
i’m probably the first gen alpha to watch this video and write this text without using any abbreviation or emojis,2025-10-22T13:06:03Z,after,youtube
"Hahahaha one with many languages is described as a terrorist anyway secondly i don't understand why some go for other languages while only essential languages are world language,mother tung language or ones country national language",2025-10-21T08:42:00Z,after,youtube
Two different english languages describes USA different from British,2025-10-21T08:33:30Z,after,youtube
Learn different accents in a language that you speak.,2025-10-21T07:39:22Z,after,youtube
"Just Wow information, from Gen-Z Team...🫡🫡🫡",2025-10-21T02:51:48Z,after,youtube
"I am in my late 30s, so listen up:

no cap, i will rizz ur sister bro, seethe as I munch her cake LMAO",2025-10-20T22:57:59Z,after,youtube
very soon BBC will be speaking jihadi lingo. no suprises or fizz there.,2025-10-20T06:41:57Z,after,youtube
very jakad,2025-10-20T06:39:52Z,after,youtube
Sophiya says the Ai can even help the community with hallucinating words that are not there and i for one believe that's where these words which you people were throwing about during this discussion came from & not some human being belonging to the generations this side of the millennium.,2025-10-20T05:03:53Z,after,youtube
"Language can never die,it can only Evolve while the old archaic version is saved in a museum somewhere pretty much safe & intact the evolved version is naturally carried on & on to posterity.",2025-10-20T04:59:14Z,after,youtube
"Horrible video!! We know younger people come up with new words, people speak differently, we don't have to be bored for ten minutes hearing you say that, with no example of now words, or one given but then refusing to give the meaning or examples (saying skibidi rizzler and moving on is not an example, it remains meaningless).  One of the worst YouTube videos I've very seen, actually.",2025-10-19T05:32:02Z,after,youtube
Interesting!    Canada 🇨🇦,2025-10-18T18:00:36Z,after,youtube
🎉🎉 great,2025-10-18T06:24:51Z,after,youtube
Historic and origin of English langage should have been studied before by these three people 🫣,2025-10-17T19:39:39Z,after,youtube
It’s actually not exclusive at all though 😂,2025-10-17T10:23:27Z,after,youtube
Uptalk irritates the bej*s*s out of me. LOL,2025-10-15T07:08:05Z,after,youtube
we are inclined to use those new words influenced by the development of social media. It’s a double - edged sword guys,2025-10-15T03:58:59Z,after,youtube
don't mind them.Ignore.,2025-10-14T00:50:21Z,after,youtube
"Great episode, thank you.",2025-10-12T14:09:29Z,after,youtube
thật tuyệt khi tôi nghe bài này,2025-10-11T08:47:57Z,after,youtube
BBC skibbudy brain rot.,2025-10-10T15:58:39Z,after,youtube
"""skibidi"" is actually gen alpha word",2025-10-10T15:43:43Z,after,youtube
"I remember my older brothers using the word ""grouse"" (the game bird in the UK) to describe something good or successful.
I never used that word, though .... my cohort already used different words.
I grew up in Christchurch, New Zealand. The rate of change was fast, even then. 
""Rizz"" is interesting. 
My mother would say, ""That's rather Ritzy""  to admire something original, well designed, and high value. Post-WW II slang, I suppose?
I have no idea what Rizz means to those who used it recently though. 
And its gone already!   😂  ❤",2025-10-10T14:19:54Z,after,youtube
The freedom of speech on tiktok is about to shutdown after it gets acquired by Ellison.   😂😂😂😂,2025-10-09T20:53:58Z,after,youtube
I am bullish on this stock (stock code: 0003.HK) and believe it has good growth potential.,2025-10-08T11:45:58Z,after,youtube
As long as their is dictionary English language will not vanish,2025-10-08T05:30:36Z,after,youtube
انا متفائل بشأن هذا السهم الذي رمزه (HK.0003)واعتقد ان لديه امكانيات واعدة,2025-10-08T05:20:59Z,after,youtube
The new term Western media is trying to pollute thinking. Woke is dead. Now it is GenZ?,2025-10-08T03:14:26Z,after,youtube
انا متفائل بشأن هذا السهم واعتقد ان لديه امكانات نمو جيدة,2025-10-07T21:35:10Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0003.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T18:13:09Z,after,youtube
You know the words that I use to describe the new language changing (in a bad way)? I call it BAD EDUCATION.,2025-10-07T15:18:52Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0175.HK) ولديه إمكانات كبيرة.,2025-10-07T15:05:19Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0081.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T15:00:10Z,after,youtube
انا متفائل بشأن هذا السهم(رمز السهم:HK. 0081)وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T14:41:39Z,after,youtube
"I am bullish on this stock
(stock code: 0003.HK) and
believe it has good growth
potential.",2025-10-07T14:30:05Z,after,youtube
I am bullish on this stock (stock code: 0175.HK) and believe it has good growth potential.,2025-10-07T14:29:14Z,after,youtube
It's nice talk. I wish you well.,2025-10-07T14:01:58Z,after,youtube
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK) ولديه إمكانات واعدة.,2025-10-07T13:59:10Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم:HK.0003) وأعتقد ان لديه إمكانات نمو جيدة,2025-10-07T13:47:14Z,after,youtube
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK) ولديه إمكانات واعدة,2025-10-07T13:37:02Z,after,youtube
انا متفائل بشأن هذا السهم (hk.0175),2025-10-07T13:21:22Z,after,youtube
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK) وأعتقد أن لديه إمكانات كبيرة.,2025-10-07T13:18:22Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0175.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T13:12:37Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0151.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T12:48:37Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم:0175 : HK) وأعتقد أن لديه إمكانات واعده,2025-10-07T12:40:32Z,after,youtube
أنا متفائل بشأن هذاالسهم(رمزالسهم HK.0175)وأعتقد أن لديه إمكانات كبيرة,2025-10-07T12:28:43Z,after,youtube
أنامتفائل بشأن هذاالسهم(رمزالسهم:HK0175)وأعتقد أن لديه إمكانات نموجيدة,2025-10-07T12:13:22Z,after,youtube
نا متفائل بشأن هذا السهم (رمز السهم: 0151.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T12:07:15Z,after,youtube
.I am bullish on this stock (stock code: 0003.HK) and believe it has good growth potential.,2025-10-07T11:52:48Z,after,youtube
أنا متفائل بشأن هدا السهم (رمز السهم: HK.0003) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T11:39:20Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0083.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T11:27:07Z,after,youtube
Thank you so much,2025-10-07T10:59:51Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0175.HK) وأعتقد أن لديه إمكانات نمو جيد,2025-10-07T10:53:11Z,after,youtube
"أنا متفائل بشأن هذا السهم (رمزه:
ولديه إمكانات واعية (1)",2025-10-07T10:43:49Z,after,youtube
انا متفائل بشأن هذا السهم (رمز السهم : HK.0081) و اعتقد ان لديه امكانيات نمو جيدة,2025-10-07T10:39:31Z,after,youtube
أنا متفائل بشأن هذا السهم (رمزه: 0175.HK)، لما يتمتع به من إمكانات واعدة.,2025-10-07T10:28:48Z,after,youtube
انا متفائل بشأن هذا السهم (0157.Hk) واعتقد ان لديه إمكانات جيدة,2025-10-07T10:17:44Z,after,youtube
أنا متفائل بشأن هذا السهم ( 0003.HK) وأعتقد أن لديه إمكانات نمو جيدة.,2025-10-07T10:07:02Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0003.HK) وأعتقد أن لديه إمكانات نمو جيدة,2025-10-07T10:06:26Z,after,youtube
انا متفائل بشان هذا السهم واعتقد ان لديه امكانات نمو جيدة,2025-10-07T09:35:08Z,after,youtube
"انا متفائل بشأن هذا السهم
(رمز السهم: HK.0003) و اعتقد ان لديه إمكانات نمو جيدة",2025-10-07T08:59:45Z,after,youtube
Im bullish about this stock,2025-10-07T08:45:13Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم:HK.0151)واعتقد ان لديه امكانات نمو جيده.,2025-10-07T08:42:06Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0081.HK) وأعتقد أن لديه إمكانات نمو جيدة,2025-10-07T08:32:23Z,after,youtube
انا متفائل بشأن هذآ السهم(رمز السهم HK 0175 )وأعتقد أن لديه إمكانيات نمو جيدة,2025-10-07T08:06:05Z,after,youtube
انا متفائل بشأن هذا الشهم (رمز السهم :HK.0174) و أعتقد أن لديه إمكانات نمو جيدة,2025-10-07T07:33:54Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0175.HK) وأعتقد أن لديه إمكانات نمو جيدة,2025-10-07T07:28:47Z,after,youtube
I am optimistic about this stock. I think it has good potential.HK.0003,2025-10-07T07:07:33Z,after,youtube
أنا متفائل بشأن هذا السهم ( رمز السهم HK.0003. ) وأعتقد أن لديه إمكانات نمو جيدة,2025-10-07T07:01:40Z,after,youtube
I am optimistic about this stock (Stock Symbol: 0003.HK) and believe it has good growth potential.,2025-10-07T06:50:10Z,after,youtube
أنا متفائل بشأن هذا السهم (رمز السهم: 0003.HK) وأعتقد أنه يتمتع بإمكانات نمو جيدة.,2025-10-07T06:43:26Z,after,youtube
"It's like wearing your trousers around your ankles, it's a big ""F$$k you"", without saying a word.",2026-02-05T20:30:31Z,after,youtube
"I think it's just a young adult thing. People have complained about this since the dawn of time. Many young people are still figuring things out, and haven't fully integrated themselves into society as adults. They're still learning things like empathy, communication, and how to even socialize as adults. It's not all their fault. I think we need to show kindness and understanding all around.",2026-01-29T23:04:20Z,after,youtube
Idk if I’ve ever done this but I don’t think it should be considered rude. Some people just don’t respond how you’d like and you can’t change it because you don’t always get your way. Also you gotta remember the millennials are who raised us. This is no hate towards anyone just my opinion. And yes they could respond in some way but some Gen Z people are burnt out and don’t have the energy to.,2026-01-27T04:25:50Z,after,youtube
I've never experienced this.,2026-01-26T21:53:01Z,after,youtube
Ask them if they have paid their student loan,2026-01-24T05:36:02Z,after,youtube
"Hmmm it's what millennial did to them , i guess they just replicated it",2026-01-22T04:08:34Z,after,youtube
The dumbest and most socially awkward generation of all time.,2026-01-21T15:01:33Z,after,youtube
"I think assumptions are doing a lot of heavy lifting here. I think The Stare happens for a variety of reasons, but a lot of the time it's just a young person not quite knowing HOW they're supposed to respond and freezing up.

For younger folks who are wondering ""why are they asking these dumb questions with obvious answers?""
Us geriatric 35-year-olds are conserving energy by doing some things on autopilot. Like asking for directions is kind of a script that activates, and if you don't take control of that particular metaphorical self-driving car in time to course correct, you will crash right into ""Excuse me, do you work here?"" as the starter for a person who very obviously work there. Yes, you're right. You very obviously work there. They know you do. It's in the same vein as ending a phonecall with ""bye, I love you"" out of habit, and ending up being very accidentally affectionate with your boss, the realtor, the pizza place etc.

To further explain, older generations usually don't hype themselves up and internally go over what they say before they approach. A lot of the time they don't even lie awake at night, thinking about that weird thing they said to you. Unbelievable, I know.",2026-01-15T13:54:37Z,after,youtube
*As they stare insert the old modem sounds.* More fun!😂,2026-01-13T18:50:14Z,after,youtube
"Cant interact with humans in real life.
Too addicted to social media 
And yes its rude and makes them look stupid",2026-01-12T16:47:58Z,after,youtube
It's just retarded.,2026-01-08T23:12:59Z,after,youtube
"They have absolutely no social social skills can't explain or give a decent answer to anything...dumbass gen.
When they stare at me unwarranted I call them out on it so everyone can hear...dumb rude sh*ts",2026-01-05T03:44:03Z,after,youtube
"Being the weird (uncool/different) kid in school, this is the stare u get after naively trying interact with the mean/cool girls, usually done to humor their friends, which is when u realise they don’t care about u or anything u have to say, and u move with ur life 😂 as an adult tho it’s the kinda behaviour that might get u slapped 😂",2026-01-04T19:33:35Z,after,youtube
Yeah this only exists on the Internet 😂 what a bunch of bullshit.,2026-01-04T07:06:13Z,after,youtube
They won't look you in the eyes though.,2026-01-03T16:31:03Z,after,youtube
They can't even look up from their phone when you talk to them.,2025-12-29T11:30:34Z,after,youtube
"When it comes to business, they'll lose mine if their staff act like this.
In my personal life, bring back bullying",2025-12-27T05:41:34Z,after,youtube
"Things have not been the same since COVID, the workplace has changed drastically in many industries, and it’s affected a lot of how people work and how it’s been for a very long time now.  It’s affected us socially in the worse way possible in my opinion, though I’m sure pretty much everyone agrees.  This might not be the exact reason for the Gen Z stare, since we’ve become more and more Tech oriented as a society anyway,  but the past few years have been anything but normal.",2025-12-20T08:34:09Z,after,youtube
undeveloped,2025-12-16T18:18:57Z,after,youtube
Prisoner to your device stripped time away from actual in-person interaction?,2025-12-14T17:24:40Z,after,youtube
Tablet kids.,2025-12-14T04:31:35Z,after,youtube
Just encounter one today. Rude.,2025-12-10T19:37:07Z,after,youtube
Nah if you get the stare for saying hi or hello its because you're a middle manager or hr whos gonna criticize you for something small or ask you to do something extra so they dont have to do their job,2025-12-10T13:59:44Z,after,youtube
Rude,2025-12-10T03:51:25Z,after,youtube
"Various factors, including mental illness, drug use, and extreme stress, can cause this expression.",2025-12-09T23:04:59Z,after,youtube
It's called Idiocracy of everyone their looking at,2025-12-08T19:59:22Z,after,youtube
I dont get it.  So is gen z being rude or are they stupid?,2025-12-06T05:35:25Z,after,youtube
Wait is this real? A real thing? Should I be concerned?,2025-12-05T18:43:30Z,after,youtube
"If some idiot does that crap they need to be called out. If you go fishing, don't be surprised if you catch a fish",2025-12-05T00:12:55Z,after,youtube
It's just rude.,2025-12-04T02:28:58Z,after,youtube
As a teacher of young adults yeah its like zombieville in class.,2025-12-03T22:06:02Z,after,youtube
"This problem only exists in america💀
Maybe start looking for causes instead of dishing out complaints",2025-12-02T11:31:09Z,after,youtube
I'm actually going to side with them on this one it is 100% warranted. Frankly this is how I respond and I'm a millennial when somebody that I do not like or do not know tries to rope me into a quote-unquote mandatory conversation okay I don't do this while I'm at work but oh my God if I had to work customer service I probably would full-blown roll my eyes every time somebody asked this stupid ass question,2025-12-02T06:09:50Z,after,youtube
Get ready to learn mandarin with gen Z being your military age cohort,2025-12-01T21:03:05Z,after,youtube
"That's easy. Small talk is invented by happy people who don't have a care in their life, they bought a house for a pack of tomatoes,  they didn't have crazy student debts, they lived in a peaceful time and they just wanna talk about whatever. Gen Z understand, that they will never buy a house, the prices are ridiculous, the income is ridiculous and talking about birds and bees suddenly feels very stupid, especially when you consider that the most clueless idiot un the world is your president",2025-12-01T07:16:25Z,after,youtube
Weirdos,2025-11-29T02:59:16Z,after,youtube
it’s their way of letting you know they think you’re beneath them,2025-11-28T18:49:20Z,after,youtube
"I haven't seen this done this to strangers yet, but i think maybe i might have used it with my friends once, but more for sarcastic/comedic reasons? I'm not sure anymore xd I kinda belelieve it's supposed the equivalent of using the ""💀"" emoji irl, at least when responding to seemingly oblivious questions. (tbh which i find a bit judgemental if someone asked my personal opinion on this, because especially neurodivergent people or people with learning disabilities might sometimes ask seemingly ""dumb"" questions, and as long as they're not stated to puposefully annoy anyone, because neurodivergent/disabled people usually don't ask them to annoy anyone but just because we don't know something, i do not think anyone should be judged for that.)

But sometimes i think, if it doesn't look that intentional, it could also just indicate anxiety, or the person zoning out. I mean, some people who have mental health issues shut down when being talked to out of nowhere. Although I myself zone out very often because of my adhd, but i usually don't tend to look AT people while zoning out, but sometimes, without me noticing, i might rest my eyes on a person that's in my line of vision? Idk 😅

But tbh maybe i'm also too neurodivergent to know what this actually means xd social cues are hard",2025-11-28T16:06:48Z,after,youtube
"They're rude. Bottom line.  I try to avoid them, if possible.",2025-11-26T18:07:26Z,after,youtube
It's evolution preparing us for ai robots to take over,2025-11-24T20:59:33Z,after,youtube
A good thick slap can fix it.,2025-11-23T12:23:45Z,after,youtube
"That stare is something people with Narcissistic Personality Disorder do. 
Not making any judgments, but my parent (M word) is a malignant narcissist. I know exactly what she’s thinking when she does it. It’s always some variation of “ME!” 😆",2025-11-23T07:18:49Z,after,youtube
Robot stare😂,2025-11-22T20:38:11Z,after,youtube
"Okay but like what would be the proper response to a dumb question? Because a stare is like the least offensive thing you can do in that scenario. The one example they did show, has a person ask ""do you sell cookies here?"" and like, if the cookies are on display(as most stores who sell cookies have them on display), what would be the ""professional"" response anyway beyond taking their hand like a toddler and going ""well if you see here...""",2025-11-21T18:43:01Z,after,youtube
I believe it is a lack of social skills,2025-11-19T17:42:23Z,after,youtube
It's creepy af,2025-11-18T12:39:12Z,after,youtube
It's their medication.,2025-11-17T14:37:27Z,after,youtube
"Let's call it what it is, its rudeness.",2025-11-13T07:29:48Z,after,youtube
"I think they're just dumber. It's really that simple. Gen Z is a dumber generation compared to the generations that preceded them. I've met so many that lack basic common sense and reasoning.
(I'm 32)",2025-11-12T07:54:27Z,after,youtube
"I hate the stare, it’s so off putting. I used to learn about psychology when I was working in customer service because I wanted to know how I could gain the trust of customers and make them feel comfortable along with bringing more joy into my life because the thing is is the customers are the ones making the company the money right so if you’re pissing every customer off that comes in because you’re blankly staring at them or ignoring them how are you going to profit the company you’re not going to but a lot of these kids are too self focused to even think that far",2025-11-09T03:44:12Z,after,youtube
"If it doesn't have flashing lights, bright colors, and face tattoos, they don't know how to compute it.",2025-11-01T21:59:26Z,after,youtube
It's so weird. Like you speak to them expecting them to sound human and there's just nothing there! Terrifying.,2025-11-01T18:35:32Z,after,youtube
I think gen Z people are just retarded. There will be a documentary in the future about their condition,2025-10-29T20:57:23Z,after,youtube
"It's a sign of stupidity. As for the obvious questions and small talk. newsflash they're not the first generation to have to deal with dumb questions, and small talk. It's OK. Every generation has an illusion at some point that they are God's gift to everything until the next generation after them shatters that reality for them. And the generation before them finds them annoying. Give them time they will be in their 50s before they're rid of all of us. And until then they're going to be quitting and restarting jobs so regularly, but they will be having troubles making ends meet. Being a side glance mean girl as your whole personality doesn't get you very far.",2025-10-29T12:54:24Z,after,youtube
Psychopaths. Soulless.,2025-10-25T21:32:27Z,after,youtube
"Whos gonna blame the main culprit?

The internet stupid (smart) phone. 😮",2025-10-24T13:24:09Z,after,youtube
"Ridiculous, they are just fine. I applaud them for keeping their thoughts to themselves. They aren’t obligated to interact with you.",2025-10-23T15:33:10Z,after,youtube
"I manage some gen z'ers and can tell you (at least from my examples) that not only is the stare infuriating and confusing. It acts as the base for some high level gaslighting. I'll explain a complex concept or process. All the while being gen z stared. In my head, I'm like ""uhh, they don't get it. Let me try it another way."" After explaining something from 6 different angles to zero feedback, I get ""cool. I get it."" Do you Jessica? Do you!?

Fast forward 3 weeks and hear Jessica speaking to a colleague about that SAME concept, saying ""no, I've never been shown this."" While staring me dead in the eyes (and I mean dead eyes). Are you for real!?",2025-10-20T15:31:12Z,after,youtube
"Its called ""I'm not paid enough to care""",2025-10-18T18:54:14Z,after,youtube
"Low social and emotional intelligence. Why would you NOT want others to think you are a functional, approachable and capable individual with self awareness? They think it's more important to send the signal that they are ""based"" and ""edgy"" individuals above small talk and presentation.",2025-10-14T03:20:46Z,after,youtube
Normalize slapping the answer out of people,2025-10-13T12:32:30Z,after,youtube
"It's a ""why are you talking to me"" stare. ""This conversation is unnecessary""",2025-10-12T02:28:43Z,after,youtube
Vaccines.,2025-10-10T23:24:48Z,after,youtube
